MeanPrefLANs,StdPrefLANs,MeanWait,StdWait,LANs,Persons,Latency,MeanReachedPersons
1,1,5,1,3,10,144.06876229830775,2.3714285714285714
1,1,5,1,3,10,115.72146858743497,3.167832167832168
1,1,5,1,3,10,123.22727272727273,0.5524475524475524
1,1,5,1,3,10,148.195,1.6492537313432836
1,1,5,1,3,10,176.43510638297872,1.0066666666666666
1,1,5,1,3,10,102.85845070422535,0.912751677852349
1,1,5,1,3,10,162.0,0.4782608695652174
1,1,5,1,3,10,87.70198412698413,1.5255474452554745
1,1,5,1,3,10,138.87021857923497,0.971830985915493
1,1,5,1,3,10,75.43478260869566,0.8993288590604027
1,1,5,1,3,10,133.63991769547326,0.8333333333333334
1,1,5,1,3,10,156.33607594936709,1.096551724137931
1,1,5,1,3,10,75.58464912280702,2.4571428571428573
1,1,5,1,3,10,164.09797843665768,2.326530612244898
1,1,5,1,3,10,147.99298245614034,1.1764705882352942
1,1,5,1,3,10,106.21392919146825,3.4814814814814814
1,1,5,1,3,10,156.31666666666666,0.38961038961038963
1,1,5,1,3,10,116.63522012578616,1.6805555555555556
1,1,5,1,3,10,131.91176470588235,1.9171974522292994
1,1,5,1,3,10,151.24931972789116,2.5064935064935066
1,1,5,1,3,10,159.43733850129198,2.0628930817610063
1,1,5,1,3,10,168.36251920122888,2.0547945205479454
1,1,5,1,3,10,127.64285714285714,0.8823529411764706
1,1,5,1,3,10,111.0698312236287,1.2751677852348993
1,1,5,1,3,10,113.81150793650794,0.9444444444444444
1,1,5,1,3,10,108.37699154428127,2.761904761904762
1,1,5,1,3,10,109.26333333333334,1.1164383561643836
1,1,5,1,3,10,142.07777777777778,1.0751879699248121
1,1,5,1,3,10,181.08199233716473,1.2760736196319018
1,1,5,1,3,10,102.4457905982906,3.0620689655172413
1,1,5,1,3,10,114.36378600823045,1.0142857142857142
1,1,5,1,3,10,86.07391304347826,1.5103448275862068
1,1,5,1,3,10,126.7034632034632,0.82
1,1,5,1,3,10,101.97552264808363,2.3216783216783217
1,1,5,1,3,10,120.81007751937985,1.0072992700729928
1,1,5,1,3,10,102.79747899159663,1.657718120805369
1,1,5,1,3,10,109.97133018496655,3.6462585034013606
1,1,5,1,3,10,163.4890965732087,1.2933333333333332
1,1,5,1,3,10,129.8169781931464,1.8
1,1,5,1,3,10,76.3313725490196,1.6934306569343065
1,1,5,1,5,15,85.76165343915343,4.050925925925926
1,1,5,1,5,15,128.17251243781095,1.5275229357798166
1,1,5,1,5,15,103.10097034138701,4.279816513761468
1,1,5,1,5,15,152.5505617977528,0.867579908675799
1,1,5,1,5,15,94.30069310617698,2.4484304932735426
1,1,5,1,5,15,121.3246894409938,3.400943396226415
1,1,5,1,5,15,116.41600514345913,2.9954545454545456
1,1,5,1,5,15,141.2762198706643,1.9238095238095239
1,1,5,1,5,15,132.07928834517233,2.0373831775700935
1,1,5,1,5,15,95.4812358276644,1.8722466960352422
1,1,5,1,5,15,130.84797052154195,3.2824074074074074
1,1,5,1,5,15,120.99587966923296,2.1142857142857143
1,1,5,1,5,15,128.86554531490015,1.724890829694323
1,1,5,1,5,15,121.30994646379261,1.882882882882883
1,1,5,1,5,15,127.89824561403509,0.6606334841628959
1,1,5,1,5,15,119.9263888888889,1.8037383177570094
1,1,5,1,5,15,106.4360862722826,4.029556650246305
1,1,5,1,5,15,147.71052631578948,0.5270935960591133
1,1,5,1,5,15,111.08128205128205,2.0823045267489713
1,1,5,1,5,15,88.26015406162465,2.234513274336283
1,1,5,1,5,15,79.96296699574138,3.7018348623853212
1,1,5,1,5,15,108.6629601029601,2.2641509433962264
1,1,5,1,5,15,110.74464141414141,2.3796296296296298
1,1,5,1,5,15,109.9826826382727,1.7257383966244726
1,1,5,1,5,15,133.50559701492537,1.488262910798122
1,1,5,1,5,15,114.80250771328119,3.981042654028436
1,1,5,1,5,15,102.63587018140589,2.868181818181818
1,1,5,1,5,15,117.10500952039413,3.874418604651163
1,1,5,1,5,15,90.5993232426222,5.660465116279069
1,1,5,1,5,15,131.13457177521423,3.0088105726872247
1,1,5,1,5,15,136.91275,2.8447488584474887
1,1,5,1,5,15,111.40816185666185,2.789719626168224
1,1,5,1,5,15,117.29929217725076,3.4055299539170507
1,1,5,1,5,15,114.55510204081632,1.186602870813397
1,1,5,1,5,15,112.34847386409886,4.6943231441048034
1,1,5,1,5,15,102.54783105022831,1.0723404255319149
1,1,5,1,5,15,129.56463040203917,2.170616113744076
1,1,5,1,5,15,103.95423728813559,1.614678899082569
1,1,5,1,5,15,94.7043354655295,1.5895196506550218
1,1,5,1,5,15,111.9546066252588,2.2837837837837838
1,1,5,1,10,15,136.0544662309368,1.6375545851528384
1,1,5,1,10,15,135.76666666666665,1.6575342465753424
1,1,5,1,10,15,100.63627450980393,1.8271028037383177
1,1,5,1,10,15,110.25538229376258,1.3973799126637554
1,1,5,1,10,15,127.61723125849339,3.47787610619469
1,1,5,1,10,15,99.59861554318697,3.1523809523809523
1,1,5,1,10,15,84.16852582653688,3.3026315789473686
1,1,5,1,10,15,85.65508130081301,1.746606334841629
1,1,5,1,10,15,119.792076319071,3.5046296296296298
1,1,5,1,10,15,120.72434640522876,2.123152709359606
1,1,5,1,10,15,92.35553361518274,3.237885462555066
1,1,5,1,10,15,115.25178785433023,3.790243902439024
1,1,5,1,10,15,89.46912464985995,2.3228699551569507
1,1,5,1,10,15,127.24419494248441,3.1474654377880182
1,1,5,1,10,15,141.65337690631807,1.2876106194690264
1,1,5,1,10,15,108.73708708708709,1.6968325791855203
1,1,5,1,10,15,114.26457509761966,3.963636363636364
1,1,5,1,10,15,103.32425287356322,1.4137931034482758
1,1,5,1,10,15,101.02980461937517,4.036529680365297
1,1,5,1,10,15,106.28251783710117,2.419811320754717
1,1,5,1,10,15,107.61367910221414,2.6682242990654204
1,1,5,1,10,15,105.8729928463971,1.7478260869565216
1,1,5,1,10,15,82.29966765873016,3.3666666666666667
1,1,5,1,10,15,103.43450834879407,2.1207729468599035
1,1,5,1,10,15,133.79986848072562,2.504385964912281
1,1,5,1,10,15,98.4356746031746,2.75
1,1,5,1,10,15,113.2293464365612,2.1780821917808217
1,1,5,1,10,15,126.22662918278303,2.859030837004405
1,1,5,1,10,15,96.25733963006691,1.4955752212389382
1,1,5,1,10,15,111.11783263817162,3.7333333333333334
1,1,5,1,10,15,117.01809262166405,2.4193548387096775
1,1,5,1,10,15,119.55481875599676,3.484162895927602
1,1,5,1,10,15,130.44728282117444,3.5675675675675675
1,1,5,1,10,15,83.89112723214286,1.8940092165898617
1,1,5,1,10,15,126.56389391199518,3.0045454545454544
1,1,5,1,10,15,142.054,0.9478672985781991
1,1,5,1,10,15,136.7471454173067,2.008771929824561
1,1,5,1,10,15,95.44187833585424,3.2242990654205608
1,1,5,1,10,15,120.39923011120617,2.365217391304348
1,1,5,1,10,15,105.07087765957446,1.90521327014218
1,1,5,1,10,50,101.73281046686436,8.799168975069252
1,1,5,1,10,50,114.31610047399066,7.227882037533512
1,1,5,1,10,50,97.20265048539918,13.378746594005449
1,1,5,1,10,50,114.78883261324125,7.889039242219215
1,1,5,1,10,50,98.03539945193239,12.64572192513369
1,1,5,1,10,50,104.355428132471,10.65258855585831
1,1,5,1,10,50,122.18489442326415,6.866391184573002
1,1,5,1,10,50,96.85573320053066,11.472847682119205
1,1,5,1,10,50,125.22295986398463,7.117326057298772
1,1,5,1,10,50,117.66446112914747,7.8364864864864865
1,1,5,1,10,50,113.23605359476267,12.573611111111111
1,1,5,1,10,50,110.24411380222844,7.852901484480432
1,1,5,1,10,50,103.01826013442965,8.273572377158034
1,1,5,1,10,50,112.02295502821562,7.990514905149052
1,1,5,1,10,50,108.17375930799255,10.581137309292648
1,1,5,1,10,50,119.60616226752838,7.613128491620111
1,1,5,1,10,50,99.20542454094493,9.117408906882591
1,1,5,1,10,50,133.95957051782025,6.771232876712329
1,1,5,1,10,50,107.3971852159977,9.371812080536913
1,1,5,1,10,50,136.68561797350176,8.340569877883311
1,1,5,1,10,50,100.2133299017418,9.039671682626539
1,1,5,1,10,50,101.2613326551634,10.28688524590164
1,1,5,1,10,50,114.0830796526021,7.6379084967320265
1,1,5,1,10,50,91.93104261936489,11.847297297297297
1,1,5,1,10,50,136.45241793314017,7.456692913385827
1,1,5,1,10,50,112.29945719707561,8.695006747638326
1,1,5,1,10,50,106.55667717953006,7.21763085399449
1,1,5,1,10,50,113.78566414108255,8.699067909454062
1,1,5,1,10,50,109.39566492241711,10.540871934604905
1,1,5,1,10,50,104.71064194051795,8.471311475409836
1,1,5,1,10,50,104.59901460210104,8.593421052631578
1,1,5,1,10,50,99.39106452831386,10.73485868102288
1,1,5,1,10,50,108.9388215095451,8.308864265927978
1,1,5,1,10,50,120.67546655470697,8.68371467025572
1,1,5,1,10,50,121.08303530832902,8.568335588633289
1,1,5,1,10,50,123.67040664379432,9.571230982019364
1,1,5,1,10,50,118.46588387242828,8.102013422818793
1,1,5,1,10,50,111.90979267533568,10.758389261744966
1,1,5,1,10,50,111.23910462788628,12.24731182795699
1,1,5,1,10,50,111.81063850408049,8.884823848238483
3,2,5,2,3,10,106.54411764705883,0.9473684210526315
3,2,5,2,3,10,121.05785856009071,3.140939597315436
3,2,5,2,3,10,89.23195084485407,2.8819444444444446
3,2,5,2,3,10,160.9296449829932,2.5985401459854014
3,2,5,2,3,10,113.63413484205563,1.6217948717948718
3,2,5,2,3,10,98.115625,1.2147651006711409
3,2,5,2,3,10,177.9251851851852,1.864864864864865
3,2,5,2,3,10,93.12380217519106,2.4901960784313726
3,2,5,2,3,10,131.35733722060252,2.296551724137931
3,2,5,2,3,10,123.60026762643042,2.635135135135135
3,2,5,2,3,10,157.79794238683127,1.0974025974025974
3,2,5,2,3,10,66.48648648648648,0.46835443037974683
3,2,5,2,3,10,116.06627906976745,1.9793103448275862
3,2,5,2,3,10,149.3457627118644,2
3,2,5,2,3,10,100.65845519310086,2.033112582781457
3,2,5,2,3,10,76.08237009903677,3.6956521739130435
3,2,5,2,3,10,162.19328020464386,2.9057971014492754
3,2,5,2,3,10,155.9013480392157,1.9745222929936306
3,2,5,2,3,10,109.62946127946128,1.6170212765957446
3,2,5,2,3,10,98.65505050505051,1.0408163265306123
3,2,5,2,3,10,164.66227106227106,1.6266666666666667
3,2,5,2,3,10,86.10730593607306,1.0714285714285714
3,2,5,2,3,10,122.80357142857143,0.7697841726618705
3,2,5,2,3,10,93.16846846846848,1.1409395973154361
3,2,5,2,3,10,153.81155303030303,2.052980132450331
3,2,5,2,3,10,135.7419005102041,2.563758389261745
3,2,5,2,3,10,104.45440251572327,1.6225165562913908
3,2,5,2,3,10,86.7779900332226,2.567741935483871
3,2,5,2,3,10,103.01899630541872,2.5314685314685317
3,2,5,2,3,10,140.4081920903955,2.75
3,2,5,2,3,10,139.5662100456621,0.8482758620689655
3,2,5,2,3,10,120.84857142857143,2.425806451612903
3,2,5,2,3,10,117.0925925925926,0.38562091503267976
3,2,5,2,3,10,109.41645299145299,1.2575757575757576
3,2,5,2,3,10,126.73684210526315,0.5844155844155844
3,2,5,2,3,10,120.6505,2.1374045801526718
3,2,5,2,3,10,93.66521739130435,2.0067114093959733
3,2,5,2,3,10,89.7266081871345,2.013245033112583
3,2,5,2,3,10,119.4699074074074,1.2993197278911566
3,2,5,2,3,10,162.52304964539007,1.2297297297297298
3,2,5,2,5,15,129.7548399687744,2.2410714285714284
3,2,5,2,5,15,115.57437641723357,2.3761061946902653
3,2,5,2,5,15,119.0080532212885,1.9441860465116279
3,2,5,2,5,15,102.42691052561742,3.7663551401869158
3,2,5,2,5,15,147.19927536231884,0.574468085106383
3,2,5,2,5,15,127.42361111111111,2.390909090909091
3,2,5,2,5,15,105.53081937903366,2.9054054054054053
3,2,5,2,5,15,131.421516504329,2.689814814814815
3,2,5,2,5,15,111.86521602018291,2.018181818181818
3,2,5,2,5,15,113.09136464412781,4.192825112107624
3,2,5,2,5,15,105.65763052208835,1.921951219512195
3,2,5,2,5,15,120.10714285714286,1.2307692307692308
3,2,5,2,5,15,122.57834723343198,4.266666666666667
3,2,5,2,5,15,111.09617579908677,1.7363636363636363
3,2,5,2,5,15,102.49492421944652,4.036529680365297
3,2,5,2,5,15,165.12881404309977,2.8518518518518516
3,2,5,2,5,15,130.12668539325844,2.038095238095238
3,2,5,2,5,15,104.27435430251886,1.7671232876712328
3,2,5,2,5,15,114.73987511671335,2.3136363636363635
3,2,5,2,5,15,97.91256000205469,3.9444444444444446
3,2,5,2,5,15,121.67216656359514,3.1
3,2,5,2,5,15,96.10064226075787,2.811659192825112
3,2,5,2,5,15,124.55902509652509,1.9227272727272726
3,2,5,2,5,15,116.60781855644356,5.046948356807512
3,2,5,2,5,15,86.6455476553242,2.583710407239819
3,2,5,2,5,15,127.93971631205673,1.0807174887892377
3,2,5,2,5,15,96.1597594997595,2.591549295774648
3,2,5,2,5,15,92.6222008364224,2.4414414414414414
3,2,5,2,5,15,148.7641122674235,1.4892703862660943
3,2,5,2,5,15,126.90947668650793,3.2818181818181817
3,2,5,2,5,15,106.28578667953668,2.0849056603773586
3,2,5,2,5,15,121.40410576351753,2.8565022421524664
3,2,5,2,5,15,113.44494047619048,1.1042654028436019
3,2,5,2,5,15,106.6962189278227,2.1121495327102804
3,2,5,2,5,15,109.70174655388472,2.3835616438356166
3,2,5,2,5,15,113.20174275895926,2.4130434782608696
3,2,5,2,5,15,145.08920863309353,2.8059701492537314
3,2,5,2,5,15,108.87876425217975,1.7383177570093458
3,2,5,2,5,15,112.11901234567901,1.359447004608295
